"horizonte","data","previsto","limite_inferior","limite_superior"
1,NA,4.34029290692297,-6.58867154822207,15.269257362068
2,NA,4.26836001991668,-6.70651962173742,15.2432396615708
3,NA,4.19869162906783,-6.819083894892,15.2164671530277
4,NA,4.13121644649878,-6.92664543493871,15.1890783279363
5,NA,4.06586542852272,-7.0294670029059,15.1611978599513
6,NA,4.002571704995,-7.12779455331054,15.1329379633005
7,NA,3.94127051088858,-7.22185857779871,15.1043995995759
8,NA,3.88189912002345,-7.31187531289204,15.0756735529389
9,NA,3.82439678088239,-7.39804782891255,15.0468413906773
10,NA,3.76870465444719,-7.48056701459849,15.0179763234929
