"indice","data","residuo"
1,"01/06/2023",1.07404820173292
2,"02/06/2023",-2.18227245248402
3,"03/06/2023",-1.8371665443587
4,"04/06/2023",-1.58901413987979
5,"05/06/2023",-1.40256116768636
6,"06/06/2023",-1.25789313887128
7,"07/06/2023",-0.152319004344347
8,"08/06/2023",-1.15719544782653
9,"09/06/2023",-1.0662346877948
10,"10/06/2023",5.3832133323696
11,"11/06/2023",-1.55801227171491
12,"12/06/2023",-1.42295684683545
13,"13/06/2023",-1.30686672253018
14,"14/06/2023",-1.20668390619886
15,"15/06/2023",11.2665878054202
16,"16/06/2023",-1.80548284033998
17,"17/06/2023",2.96434035371922
18,"18/06/2023",-2.30881711972516
19,"19/06/2023",-2.08719616048223
20,"20/06/2023",-0.293893686530649
21,"21/06/2023",13.5250578599967
22,"22/06/2023",-3.12380048001837
23,"23/06/2023",-2.80268327704909
24,"24/06/2023",-0.921561766982479
25,"25/06/2023",-2.42205055654755
26,"26/06/2023",-2.18795954620882
27,"27/06/2023",2.81697160039065
28,"28/06/2023",-2.24382679950018
29,"29/06/2023",-0.83190387300586
30,"30/06/2023",-1.95624361199969
31,"01/07/2023",-1.37979705852087
32,"02/07/2023",-1.66181860827959
33,"03/07/2023",-1.52168304016904
34,"04/07/2023",-1.39882757997425
35,"05/07/2023",-1.29111971929417
36,"06/07/2023",-1.19669064767778
37,"07/07/2023",5.68607506899083
38,"08/07/2023",-1.6653339039806
39,"09/07/2023",0.0752061401421156
40,"10/07/2023",-0.748394811651561
41,"11/07/2023",-1.4956764198912
42,"12/07/2023",-1.3760461197213
43,"13/07/2023",-1.27116008502196
44,"14/07/2023",-1.17920096627833
45,"15/07/2023",-1.09857546010965
46,"16/07/2023",1.77211245861793
47,"17/07/2023",-1.22284287451885
48,"18/07/2023",-1.13683937601773
49,"19/07/2023",-1.06143524627925
50,"20/07/2023",-0.995324160263931
51,"21/07/2023",-0.937360798417759
52,"22/07/2023",-0.886541000548361
53,"23/07/2023",-0.841984366660193
54,"24/07/2023",-0.802919002840092
55,"25/07/2023",-0.768668147600492
56,"26/07/2023",-0.738638446770033
57,"27/07/2023",-0.712309673652466
58,"28/07/2023",-0.689225716261405
59,"29/07/2023",-0.668986675422621
60,"30/07/2023",-0.651241936802953
61,"31/07/2023",-0.635684096812711
62,"01/08/2023",-0.622043637131556
63,"02/08/2023",-0.61008425558424
64,"03/08/2023",-0.599598772468129
65,"04/08/2023",-0.590405541406952
66,"05/08/2023",-0.582345302547933
67,"06/08/2023",-0.575278423584193
68,"07/08/2023",-0.569082480804062
69,"08/08/2023",-0.563650138260285
70,"09/08/2023",-0.558887288317231
71,"10/08/2023",-0.554711421362624
72,"11/08/2023",-0.551050196440602
73,"12/08/2023",-0.547840188043771
74,"13/08/2023",-0.54502578735382
75,"14/08/2023",-0.542558238895932
76,"15/08/2023",-0.540394795918206
77,"16/08/2023",-0.538497979864064
78,"17/08/2023",-0.53683493110895
79,"18/08/2023",-0.53537683971367
80,"19/08/2023",-0.53409844633293
81,"20/08/2023",-0.532977604632962
82,"21/08/2023",-0.531994897637732
83,"22/08/2023",-0.531133301357435
84,"23/08/2023",-0.530377889872111
85,"24/08/2023",-0.529715576761355
86,"25/08/2023",-0.529134888400762
87,"26/08/2023",-0.528625765197763
88,"27/08/2023",-0.52817938732357
89,"28/08/2023",-0.52778802192225
90,"29/08/2023",-0.527444889150067
91,"30/08/2023",-0.527144044724395
92,"31/08/2023",-0.526880276947534
93,"01/09/2023",2.67335098357425
94,"02/09/2023",-0.820082264811477
95,"03/09/2023",-0.783716224858813
96,"04/09/2023",-0.751832005926508
97,"05/09/2023",-0.723877259733402
98,"06/09/2023",-0.699367710467624
99,"07/09/2023",-0.67787876540396
100,"08/09/2023",-0.659038159444942
101,"09/09/2023",-0.64251950616291
102,"10/09/2023",-0.62803664362411
103,"11/09/2023",-0.615338677044349
104,"12/09/2023",-0.604205632397349
105,"13/09/2023",4.00555535431893
106,"14/09/2023",-1.00798838320219
107,"15/09/2023",-0.948464430200959
