"indice","data","valor_original","valor_transformado"
1,"01/06/2023",3.2,1.43508452528932
2,"02/06/2023",0,0
3,"03/06/2023",0,0
4,"04/06/2023",0,0
5,"05/06/2023",0,0
6,"06/06/2023",0,0
7,"07/06/2023",1,0.693147180559945
8,"08/06/2023",0,0
9,"09/06/2023",0,0
10,"10/06/2023",6.4,2.00148000021012
11,"11/06/2023",0,0
12,"12/06/2023",0,0
13,"13/06/2023",0,0
14,"14/06/2023",0,0
15,"15/06/2023",12.4,2.59525470695687
16,"16/06/2023",0.4,0.336472236621213
17,"17/06/2023",5,1.79175946922805
18,"18/06/2023",0,0
19,"19/06/2023",0,0
20,"20/06/2023",1.6,0.955511445027436
21,"21/06/2023",15.4,2.79728133483015
22,"22/06/2023",0,0
23,"23/06/2023",0,0
24,"24/06/2023",1.6,0.955511445027436
25,"25/06/2023",0,0
26,"26/06/2023",0,0
27,"27/06/2023",4.8,1.75785791755237
28,"28/06/2023",0,0
29,"29/06/2023",1.2,0.78845736036427
30,"30/06/2023",0,0
31,"01/07/2023",0.4,0.336472236621213
32,"02/07/2023",0,0
33,"03/07/2023",0,0
34,"04/07/2023",0,0
35,"05/07/2023",0,0
36,"06/07/2023",0,0
37,"07/07/2023",6.8,2.05412373369555
38,"08/07/2023",0,0
39,"09/07/2023",1.6,0.955511445027436
40,"10/07/2023",0.8,0.587786664902119
41,"11/07/2023",0,0
42,"12/07/2023",0,0
43,"13/07/2023",0,0
44,"14/07/2023",0,0
45,"15/07/2023",0,0
46,"16/07/2023",2.8,1.33500106673234
47,"17/07/2023",0,0
48,"18/07/2023",0,0
49,"19/07/2023",0,0
50,"20/07/2023",0,0
51,"21/07/2023",0,0
52,"22/07/2023",0,0
53,"23/07/2023",0,0
54,"24/07/2023",0,0
55,"25/07/2023",0,0
56,"26/07/2023",0,0
57,"27/07/2023",0,0
58,"28/07/2023",0,0
59,"29/07/2023",0,0
60,"30/07/2023",0,0
61,"31/07/2023",0,0
62,"01/08/2023",0,0
63,"02/08/2023",0,0
64,"03/08/2023",0,0
65,"04/08/2023",0,0
66,"05/08/2023",0,0
67,"06/08/2023",0,0
68,"07/08/2023",0,0
69,"08/08/2023",0,0
70,"09/08/2023",0,0
71,"10/08/2023",0,0
72,"11/08/2023",0,0
73,"12/08/2023",0,0
74,"13/08/2023",0,0
75,"14/08/2023",0,0
76,"15/08/2023",0,0
77,"16/08/2023",0,0
78,"17/08/2023",0,0
79,"18/08/2023",0,0
80,"19/08/2023",0,0
81,"20/08/2023",0,0
82,"21/08/2023",0,0
83,"22/08/2023",0,0
84,"23/08/2023",0,0
85,"24/08/2023",0,0
86,"25/08/2023",0,0
87,"26/08/2023",0,0
88,"27/08/2023",0,0
89,"28/08/2023",0,0
90,"29/08/2023",0,0
91,"30/08/2023",0,0
92,"31/08/2023",0,0
93,"01/09/2023",3.2,1.43508452528932
94,"02/09/2023",0,0
95,"03/09/2023",0,0
96,"04/09/2023",0,0
97,"05/09/2023",0,0
98,"06/09/2023",0,0
99,"07/09/2023",0,0
100,"08/09/2023",0,0
101,"09/09/2023",0,0
102,"10/09/2023",0,0
103,"11/09/2023",0,0
104,"12/09/2023",0,0
105,"13/09/2023",4.6,1.7227665977411
106,"14/09/2023",0,0
107,"15/09/2023",0,0
108,"16/09/2023",0,0
109,"17/09/2023",0,0
110,"18/09/2023",0,0
111,"19/09/2023",0,0
112,"20/09/2023",0,0
113,"21/09/2023",0,0
114,"22/09/2023",0,0
115,"23/09/2023",0.2,0.182321556793955
116,"24/09/2023",0,0
117,"25/09/2023",0,0
118,"26/09/2023",0,0
119,"27/09/2023",0,0
120,"28/09/2023",0,0
121,"29/09/2023",0,0
122,"30/09/2023",0,0
123,"01/10/2023",0,0
124,"02/10/2023",0,0
125,"03/10/2023",0,0
126,"04/10/2023",0,0
127,"05/10/2023",0,0
128,"06/10/2023",0,0
129,"07/10/2023",0,0
130,"08/10/2023",0,0
131,"09/10/2023",0,0
132,"10/10/2023",0,0
133,"11/10/2023",0.4,0.336472236621213
134,"12/10/2023",0,0
135,"13/10/2023",0,0
136,"14/10/2023",0,0
137,"15/10/2023",0,0
138,"16/10/2023",0,0
139,"17/10/2023",0,0
140,"18/10/2023",0.2,0.182321556793955
141,"19/10/2023",0.2,0.182321556793955
142,"20/10/2023",0,0
143,"21/10/2023",0.2,0.182321556793955
144,"22/10/2023",1.6,0.955511445027436
145,"23/10/2023",0.8,0.587786664902119
146,"24/10/2023",0.8,0.587786664902119
147,"25/10/2023",0,0
148,"26/10/2023",0,0
149,"27/10/2023",0,0
150,"28/10/2023",0,0
151,"29/10/2023",0,0
152,"30/10/2023",0,0
153,"31/10/2023",0,0
154,"01/11/2023",3,1.38629436111989
155,"02/11/2023",0,0
156,"03/11/2023",1,0.693147180559945
157,"04/11/2023",0.2,0.182321556793955
158,"05/11/2023",0,0
159,"06/11/2023",0.2,0.182321556793955
160,"07/11/2023",0,0
